다니다,"to go (frequently),<br>to attend, work for",,,,[sound:toattend.mp3],156
구두,dress shoes,,,,[sound:dressshoes.mp3],157
치즈,cheese,,,,,158
일어나다,"to wake up, get up;<div>to happen</div>",,,,[sound:towakeup.mp3],159
중국,China,,,中國,,160
비,rain;<br>broom,,,,[sound:rain.mp3],161
맞다,"to be correct;<div>to be hit, struck</div>",,,,[sound:tobecorrect.mp3],162
금요일,Friday,,,金曜日,[sound:friday.mp3],163
자주,often,,,,[sound:often.mp3],164
쉬다,"to rest, take a rest",,,,[sound:torest.mp3],165
형,"a man's older brother;<br />type, style;<br />punishment",,,"兄,&nbsp;型,&nbsp;刑",[sound:hyung.mp3],166
컴퓨터,computer,,,,[sound:computer.mp3],167
날씨,weather,,,,[sound:weather.mp3],168
끝나다,"to end, be over",,,,[sound:toend.mp3],169
감자,potato,,,,,170
더,more,,,,[sound:more.mp3],171
싸다,"to be inexpensive, cheap;<div>to wrap up, pack</div>",,,,[sound:tobecheap.mp3],172
은행,bank,,,銀行,[sound:bank.mp3],173
혼자,alone,,,,[sound:alone.mp3],174
기다리다,to wait,,,,[sound:towait.mp3],175
배,pear;<br>stomach;<br>boat,,,,[sound:stomach.mp3],176
아이,child,,,,[sound:child.mp3],177
그렇다,to be so (like that),,,,[sound:tobeso.mp3],178
나라,"country, nation",,,,,179
셔츠,shirt,,,,,180
일하다,to work,,,,[sound:towork.mp3],181
가족,family,,,家族,[sound:family.mp3],182
안녕히,peacefully;<div>safely</div>,,,安寧,,183
배우다,to learn,,,,[sound:tolearn.mp3],184
공책,"notebook<div><img src=""notebook.jpeg"" /></div>",,,空冊,,185
쪽,"side, direction;<div>page</div>",,,,,186
싫다,"to be unlikable, to not like",,,,[sound:tobeunlikeable.mp3],187
독일,Germany,,,獨逸,,188
텔레비전,TV,,,,[sound:tv.mp3],189
다르다,to be different,,,,,190
이번,this time,,,-番,[sound:thistime.mp3],191
공원,park,,,公園,[sound:park.mp3],192
돕다,to help,,,,[sound:tohelp.mp3],193
얼마,how much (money),,,,[sound:howmuch.mp3],194
여행,"trip, travel",,,旅行,,195
늦다,to be late,,,,[sound:tobelate.mp3],196
다,all,,,,[sound:all.mp3],197
바나나,banana,,,,,198
피곤하다,to be tired,,,疲困,[sound:tobetired.mp3],199
요일,day of the week,,,曜日,,200
거기,there,,,,,201
도착하다,to arrive,,,到着,[sound:toarrive.mp3],202
도서관,library,,,圖書館,[sound:library.mp3],203
너무,too (much),,,,[sound:toovery.mp3],204
받다,"to receive, accept;<div>to take</div>",,,,[sound:toreceive.mp3],205
딸,daughter,,,,[sound:daughter.mp3],206
그래서,therefore,,,,[sound:therefore.mp3],207
보이다,"to be visible;<div>to show, display</div>",,,,[sound:tobevisible.mp3],208
토요일,Saturday,,,土曜日,[sound:saturday.mp3],209
생일,birthday,,,生日,,210
좋아하다,to like,,,,[sound:tolike.mp3],211
부모님,parents,,,父母-,[sound:parents.mp3],212
밤,night,,,,[sound:night.mp3],213
생각하다,to think,,,,[sound:tothink.mp3],214
문제,"problem, question",,,問題,[sound:problem.mp3],215
이쪽으로,"this way, over here",,,,,216
사진,"picture, photo",,,寫眞,[sound:picture.mp3],217
재미없다,"to be boring, dull",,,,,218
아이스크림,ice cream,,,,[sound:icecream.mp3],219
점심,lunch; afternoon,,,點心,[sound:lunch.mp3],220
앞,the front,,,,[sound:front.mp3],221
전화하다,to make a phone call,,,電話,[sound:tomakeaphonecall.mp3],222
프랑스,France,,,,,223
일요일,Sunday,,,日曜日,[sound:sunday.mp3],224
치마,skirt,,,,[sound:skirt.mp3],225
부르다,"to call, to call out",,,,[sound:tocall.mp3],226
고양이,cat,,,,[sound:cat.mp3],227
시험,"exam, test",,,試驗,[sound:exam.mp3],228
여러분,"everyone, ladies and gentlemen",,,,,229
